PUM2	MED23
FOXJ3	MED23
FRMPD4	STK36
WDTC1	MED23
SORBS2	SEMA6A
CDK5RAP2	STK36
MAST2	STK36
SORBS1	SEMA6A
ITSN2	SEMA6A
SH3RF1	SEMA6A
TRIP12	CARNS1
DST	KIAA1549
ITSN2	KIAA1549
MYO5B	KIAA1549
CADPS	KIAA1549
MBD5	KIAA1549
XAB2	CACHD1
BICRAL	CACHD1
ZMIZ1	CACHD1
RANBP10	CACHD1
RANBP10	THSD7B
MAST3	CNTNAP4
MACF1	TANGO6
FBXO21	CNTNAP4
RANBP10	CNTNAP4
AP2M1	MEGF10
MACF1	CNTNAP4
GRB10	MEGF10
DHX16	MEGF10
RANBP10	MEGF10
SNRNP200	MEGF10
GP1BA	F2
BRCA2	RAD51
GRB2	MPRIP
GRB2	TFAP2A
GRB2	ACTG2
GRB2	SMU1
GRB2	AP2M1
GRB2	AP2B1
GRB2	SNRPD2
GRB2	H3C1
GRB2	CD59
GRB2	EPPK1
GRB2	PLEC
GRB2	KRT18
GRB2	KRT17
GRB2	KRT8
GRB2	KRT7
GRB2	PTPN11
GRB2	UBB
GRB2	CBLB
GRB2	AP2S1
GRB2	VAV3
GRB2	VAV2
GRB2	RACGAP1
GRB2	IQGAP1
GRB2	SOS1
GRB2	SHC1
GRB2	EGFR
KRT18	SHC1
EGFR	H3C1
EGFR	CD59
GRB2	NPM1
GRB2	SHMT2
GRB2	EEF1G
GRB2	RPS26
GRB2	RPS11
GRB2	RPS18
GRB2	RPS25
GRB2	H4-16
GRB2	RPS13
GRB2	RPS15A
GRB2	RPS8
GRB2	RPS28
GRB2	PPP1CB
GRB2	HNRNPK
GRB2	RUVBL2
GRB2	SYNPO
GRB2	EIF4A3
GRB2	PPP3CA
GRB2	PDCD6
GRB2	PLS3
GRB2	S100A6
GRB2	SAFB2
GRB2	LUC7L2
GRB2	TAOK2
GRB2	HNRNPH2
GRB2	RPLP2
GRB2	RPS14
GRB2	RPL27
GRB2	RPL12
GRB2	RPL18
GRB2	HSPB1
GRB2	HNRNPA1
GRB2	TPM2
GRB2	ANXA2
GRB2	TMOD3
GRB2	MATR3
GRB2	SMARCA5
GRB2	BCLAF1
GRB2	ILF3
GRB2	HSP90AB1
GRB2	EEF2
GRB2	NCL
GRB2	RCC2
GRB2	ANXA6
GRB2	HSPD1
GRB2	RPS16
GRB2	H2BC9
GRB2	RPL26
GRB2	RPL10
GRB2	RPS3A
GRB2	ARPC2
GRB2	ACTC1
GRB2	HTRA1
GRB2	ATAD3A
GRB2	RBBP7
GRB2	DDX39B
GRB2	RPL3
GRB2	EIF4A1
GRB2	DAPK3
GRB2	EEF1A1
GRB2	FLNB
GRB2	PRKDC
GRB2	THRAP3
GRB2	DHX9
GRB2	PABPC1
GRB2	DDX5
GRB2	LMNA
GRB2	WDR1
GRB2	HSPA8
GRB2	CTTN
GRB2	HSPA5
GRB2	ARPC4
GRB2	ARPC3
GRB2	TUBA4A
GRB2	PAWR
GRB2	MYH10
GRB2	PPP1R12A
GRB2	RAI14
GRB2	ACTN1
GRB2	NEXN
GRB2	MYL6
GRB2	HNRNPH1
GRB2	SPTBN1
GRB2	FLII
GRB2	SVIL
GRB2	ACTN4
GRB2	GSN
GRB2	LIMA1
GRB2	CFL2
GRB2	RPS9
GRB2	RPS3
GRB2	CORO1B
GRB2	HADHB
GRB2	IPO7
GRB2	HNRNPU
GRB2	MYO1B
GRB2	SPECC1L
GRB2	PRMT5
GRB2	FSCN1
GRB2	MYH14
GRB2	RUVBL1
GRB2	SRSF10
GRB2	RPL36
GRB2	H2AC18
GRB2	CAPZB
GRB2	RPL4
GRB2	ACTR2
GRB2	AP2A1
GRB2	GSTP1
GRB2	SSBP1
GRB2	PKM
GRB2	SRP14
GRB2	IMPDH2
GRB2	RPL35A
GRB2	DLD
GRB2	RPL31
GRB2	PCMT1
GRB2	RPL23
GRB2	MYO1A
GRB2	RPL23A
GRB2	DUT
GRB2	XRCC6
GRB2	PRDX1
GRB2	SLC25A3
GRB2	CFL1
GRB2	DYNLL1
GRB2	RPL24
GRB2	RPL30
GRB2	RPS20
GRB2	RPS23
GRB2	UGDH
GRB2	GMFB
GRB2	HNRNPF
GRB2	ARPC5
GRB2	DNAJA2
GRB2	ARPC1A
GRB2	SPTAN1
GRB2	ATP5F1A
GRB2	ACTR3
GRB2	DBN1
GRB2	CORO1C
GRB2	TUBB4B
GRB2	CBR1
GRB2	ACTG1
GRB2	PPP1R9B
GRB2	ABLIM3
GRB2	DDX6
GRB2	HSPA1L
GRB2	GRWD1
GRB2	DST
GRB2	ITPR3
GRB2	CAMK2D
GRB2	DLST
GRB2	TUBB
GRB2	TUBB3
GRB2	SRP9
GRB2	RPL7
GRB2	PPIA
GRB2	HNRNPA2B1
GRB2	SERPINH1
GRB2	MYO3B
GRB2	TPM1
