A2M PROC
GSK3B GRIN2B
GSK3B GYS1
GSK3B GYS2
GSK3B IGF1
GSK3B IGFALS
GSK3B IGFBP3
GSK3B JUNB
GSK3B MAPT
GSK3B MYC
GSK3B NFATC1
GSK3B NFATC2
GSK3B NFATC3
GSK3B SOCS1
GSK3B SOCS2
GSK3B SOCS3
GSPT1 PABPC1
GSPT1 PABPC1L
GSPT1 PABPC1L2A
GSPT1 PABPC1L2B
GSPT1 PABPC3
GSPT1 PABPC4
GSPT1 PABPC4L
GSPT1 PABPC5
GSPT2 PABPC1
GSPT2 PABPC1L
GSPT2 PABPC1L2A
GSPT2 PABPC1L2B
GSPT2 PABPC3
GSPT2 PABPC4
GSPT2 PABPC4L
GSPT2 PABPC5
GSR GSS
GSR GSTA1
GSR GSTA2
GSR GSTA3
GSR GSTA4
GSR GSTA5
GSR GSTK1
GSR GSTM1
GSR GSTM2
GSR GSTM3
GSR GSTM4
GSR GSTM5
GSR GSTO1
GSR GSTO2
GSR GSTP1
GSR GSTT1
GSR GSTT2
GSR GSTT2B
GSR HPGDS
GSR MGST1
GSR MGST2
GSR MGST3
GSS ANPEP
GSS GCLC
GSS GCLM
GSS GGCT
GSS GPX1
GSS GPX2
GSS GPX3
GSS GPX4
GSS GPX5
GSS GPX6
GSS GPX7
GSS GPX8
GSS GSTA1
GSS GSTA2
GSS GSTA3
GSS GSTA4
GSS GSTA5
GSS GSTK1
GSS GSTM1
GSS GSTM2
GSS GSTM3
GSS GSTM4
GSS GSTM5
GSS GSTO1
GSS GSTO2
GSS GSTP1
GSS GSTT1
GSS GSTT2
GSS GSTT2B
GSS HPGDS
GSS MGST1
GSS MGST2
GSS MGST3
GSS TXNDC12
GSTA1 ADH1A
GSTA1 ADH1B
GSTA1 ADH1C
GSTA1 ADH4
GSTA1 ADH5
GSTA1 ADH6
GSTA1 ADH7
GSTA1 ALDH1A3
GSTA1 ALDH3A1
GSTA1 ALDH3B1
GSTA1 ALDH3B2
GSTA1 CYP1A1
GSTA1 CYP1A2
GSTA1 CYP1B1
GSTA1 CYP2A13
GSTA1 CYP2C9
GSTA1 CYP2E1
GSTA1 CYP3A4
GSTA1 EPHX1
GSTA1 GGT1
GSTA1 GGT5
GSTA1 GGT6
GSTA1 GGT7
GSTA1 GPX1
GSTA1 GPX2
GSTA1 GPX3
GSTA1 GPX4
GSTA1 GPX5
GSTA1 GPX6
GSTA1 GPX7
GSTA1 GPX8
GSTA1 GSTA2
GSTA1 GSTA3
GSTA1 GSTA4
GSTA1 GSTA5
GSTA1 GSTK1
GSTA1 GSTM1
GSTA1 GSTM2
GSTA1 GSTM3
GSTA1 GSTM4
GSTA1 GSTM5
GSTA1 GSTO1
GSTA1 GSTO2
GSTA1 GSTP1
GSTA1 GSTT1
GSTA1 GSTT2
GSTA1 GSTT2B
GSTA1 HPGDS
GSTA1 MGST1
GSTA1 MGST2
GSTA1 MGST3
GSTA1 TXNDC12
GSTA2 ADH1A
GSTA2 ADH1B
GSTA2 ADH1C
GSTA2 ADH4
GSTA2 ADH5
GSTA2 ADH6
GSTA2 ADH7
GSTA2 ALDH1A3
GSTA2 ALDH3A1
GSTA2 ALDH3B1
GSTA2 ALDH3B2
GSTA2 CYP1A1
GSTA2 CYP1A2
GSTA2 CYP1B1
GSTA2 CYP2A13
GSTA2 CYP2C9
GSTA2 CYP2E1
GSTA2 CYP3A4
GSTA2 EPHX1
GSTA2 GGT1
GSTA2 GGT5
GSTA2 GGT6
GSTA2 GGT7
GSTA2 GPX1
GSTA2 GPX2
GSTA2 GPX3
GSTA2 GPX4
GSTA2 GPX5
GSTA2 GPX6
GSTA2 GPX7
GSTA2 GPX8
GSTA2 GSTA1
GSTA2 GSTA3
GSTA2 GSTA4
GSTA2 GSTA5
GSTA2 GSTK1
GSTA2 GSTM1
GSTA2 GSTM2
GSTA2 GSTM3
GSTA2 GSTM4
GSTA2 GSTM5
GSTA2 GSTO1
GSTA2 GSTO2
GSTA2 GSTP1
GSTA2 GSTT1
GSTA2 GSTT2
GSTA2 GSTT2B
GSTA2 HPGDS
GSTA2 MGST1
GSTA2 MGST2
GSTA2 MGST3
GSTA2 TXNDC12
GSTA3 ADH1A
GSTA3 ADH1B
GSTA3 ADH1C
GSTA3 ADH4
GSTA3 ADH5
GSTA3 ADH6
GSTA3 ADH7
GSTA3 ALDH1A3
GSTA3 ALDH3A1
GSTA3 ALDH3B1
GSTA3 ALDH3B2
GSTA3 CYP1A1
GSTA3 CYP1A2
GSTA3 CYP1B1
GSTA3 CYP2A13
GSTA3 CYP2C9
GSTA3 CYP2E1
GSTA3 CYP3A4
GSTA3 EPHX1
GSTA3 GGT1
GSTA3 GGT5
GSTA3 GGT6
GSTA3 GGT7
GSTA3 GPX1
GSTA3 GPX2
GSTA3 GPX3
GSTA3 GPX4
GSTA3 GPX5
GSTA3 GPX6
GSTA3 GPX7
GSTA3 GPX8
GSTA3 GSTA1
GSTA3 GSTA2
GSTA3 GSTA4
GSTA3 GSTA5
GSTA3 GSTK1
GSTA3 GSTM1
GSTA3 GSTM2
GSTA3 GSTM3
GSTA3 GSTM4
GSTA3 GSTM5
GSTA3 GSTO1
GSTA3 GSTO2
GSTA3 GSTP1
GSTA3 GSTT1
GSTA3 GSTT2
GSTA3 GSTT2B
GSTA3 HPGDS
GSTA3 MGST1
GSTA3 MGST2
GSTA3 MGST3
GSTA3 TXNDC12
GSTA4 ADH1A
GSTA4 ADH1B
GSTA4 ADH1C
GSTA4 ADH4
GSTA4 ADH5
GSTA4 ADH6
GSTA4 ADH7
GSTA4 ALDH1A3
GSTA4 ALDH3A1
GSTA4 ALDH3B1
GSTA4 ALDH3B2
GSTA4 CYP1A1
GSTA4 CYP1A2
GSTA4 CYP1B1
GSTA4 CYP2A13
GSTA4 CYP2C9
GSTA4 CYP2E1
GSTA4 CYP3A4
GSTA4 EPHX1
GSTA4 GGT1
GSTA4 GGT5
GSTA4 GGT6
GSTA4 GGT7
GSTA4 GPX1
GSTA4 GPX2
GSTA4 GPX3
GSTA4 GPX4
GSTA4 GPX5
GSTA4 GPX6
GSTA4 GPX7
GSTA4 GPX8
GSTA4 GSTA1
GSTA4 GSTA2
GSTA4 GSTA3
GSTA4 GSTA5
GSTA4 GSTK1
GSTA4 GSTM1
GSTA4 GSTM2
GSTA4 GSTM3
GSTA4 GSTM4
GSTA4 GSTM5
GSTA4 GSTO1
GSTA4 GSTO2
GSTA4 GSTP1
GSTA4 GSTT1
GSTA4 GSTT2
GSTA4 GSTT2B
GSTA4 HPGDS
GSTA4 MGST1
GSTA4 MGST2
GSTA4 MGST3
GSTA4 TXNDC12
GSTA5 ADH1A
GSTA5 ADH1B
GSTA5 ADH1C
GSTA5 ADH4
GSTA5 ADH5
GSTA5 ADH6
GSTA5 ADH7
GSTA5 ALDH1A3
GSTA5 ALDH3A1
GSTA5 ALDH3B1
GSTA5 ALDH3B2
GSTA5 CYP1A1
GSTA5 CYP1A2
GSTA5 CYP1B1
GSTA5 CYP2A13
GSTA5 CYP2C9
GSTA5 CYP2E1
GSTA5 CYP3A4
GSTA5 EPHX1
GSTA5 GGT1
GSTA5 GGT5
GSTA5 GGT6
GSTA5 GGT7
GSTA5 GPX1
GSTA5 GPX2
GSTA5 GPX3
GSTA5 GPX4
GSTA5 GPX5
GSTA5 GPX6
GSTA5 GPX7
GSTA5 GPX8
GSTA5 GSTA1
GSTA5 GSTA2
GSTA5 GSTA3
GSTA5 GSTA4
GSTA5 GSTK1
GSTA5 GSTM1
GSTA5 GSTM2
GSTA5 GSTM3
GSTA5 GSTM4
GSTA5 GSTM5
GSTA5 GSTO1
GSTA5 GSTO2
GSTA5 GSTP1
GSTA5 GSTT1
GSTA5 GSTT2
GSTA5 GSTT2B
GSTA5 HPGDS
GSTA5 MGST1
GSTA5 MGST2
GSTA5 MGST3
GSTA5 TXNDC12
GSTK1 ADH1A
GSTK1 ADH1B
GSTK1 ADH1C
GSTK1 ADH4
GSTK1 ADH5
GSTK1 ADH6
GSTK1 ADH7
GSTK1 ALDH1A3
GSTK1 ALDH3A1
GSTK1 ALDH3B1
GSTK1 ALDH3B2
GSTK1 CYP1A1
GSTK1 CYP1A2
GSTK1 CYP1B1
GSTK1 CYP2A13
GSTK1 CYP2C9
GSTK1 CYP2E1
GSTK1 CYP3A4
GSTK1 EPHX1
GSTK1 GGT1
GSTK1 GGT5
GSTK1 GGT6
GSTK1 GGT7
GSTK1 GPX1
GSTK1 GPX2
GSTK1 GPX3
GSTK1 GPX4
GSTK1 GPX5
GSTK1 GPX6
GSTK1 GPX7
GSTK1 GPX8
GSTK1 GSTA1
GSTK1 GSTA2
GSTK1 GSTA3
GSTK1 GSTA4
GSTK1 GSTA5
GSTK1 GSTM1
GSTK1 GSTM2
GSTK1 GSTM3
GSTK1 GSTM4
GSTK1 GSTM5
GSTK1 GSTO1
GSTK1 GSTO2
GSTK1 GSTP1
GSTK1 GSTT1
GSTK1 GSTT2
GSTK1 GSTT2B
GSTK1 HPGDS
GSTK1 MGST1
GSTK1 MGST2
GSTK1 MGST3
GSTK1 TXNDC12
GSTM1 ADH1A
GSTM1 ADH1B
GSTM1 ADH1C
GSTM1 ADH4
GSTM1 ADH5
GSTM1 ADH6
GSTM1 ADH7
GSTM1 ALDH1A3
GSTM1 ALDH3A1
GSTM1 ALDH3B1
GSTM1 ALDH3B2
GSTM1 CYP1A1
GSTM1 CYP1A2
GSTM1 CYP1B1
GSTM1 CYP2A13
GSTM1 CYP2C9
GSTM1 CYP2E1
GSTM1 CYP3A4
GSTM1 EPHX1
GSTM1 GGT1
GSTM1 GGT5
GSTM1 GGT6
GSTM1 GGT7
GSTM1 GPX1
GSTM1 GPX2
GSTM1 GPX3
GSTM1 GPX4
GSTM1 GPX5
GSTM1 GPX6
GSTM1 GPX7
GSTM1 GPX8
GSTM1 GSTA1
GSTM1 GSTA2
GSTM1 GSTA3
GSTM1 GSTA4
GSTM1 GSTA5
GSTM1 GSTK1
GSTM1 GSTM2
GSTM1 GSTM3
GSTM1 GSTM4
GSTM1 GSTM5
GSTM1 GSTO1
GSTM1 GSTO2
GSTM1 GSTP1
GSTM1 GSTT1
GSTM1 GSTT2
GSTM1 GSTT2B
GSTM1 HPGDS
GSTM1 MGST1
GSTM1 MGST2
GSTM1 MGST3
GSTM1 TXNDC12
GSTM2 ADH1A
GSTM2 ADH1B
GSTM2 ADH1C
GSTM2 ADH4
GSTM2 ADH5
GSTM2 ADH6
GSTM2 ADH7
GSTM2 ALDH1A3
GSTM2 ALDH3A1
GSTM2 ALDH3B1
GSTM2 ALDH3B2
GSTM2 CYP1A1
GSTM2 CYP1A2
GSTM2 CYP1B1
GSTM2 CYP2A13
GSTM2 CYP2C9
GSTM2 CYP2E1
GSTM2 CYP3A4
GSTM2 EPHX1
GSTM2 GGT1
GSTM2 GGT5
GSTM2 GGT6
GSTM2 GGT7
GSTM2 GPX1
GSTM2 GPX2
GSTM2 GPX3
GSTM2 GPX4
GSTM2 GPX5
GSTM2 GPX6
GSTM2 GPX7
GSTM2 GPX8
GSTM2 GSTA1
GSTM2 GSTA2
GSTM2 GSTA3
GSTM2 GSTA4
GSTM2 GSTA5
GSTM2 GSTK1
GSTM2 GSTM1
GSTM2 GSTM3
GSTM2 GSTM4
GSTM2 GSTM5
GSTM2 GSTO1
GSTM2 GSTO2
GSTM2 GSTP1
GSTM2 GSTT1
GSTM2 GSTT2
GSTM2 GSTT2B
GSTM2 HPGDS
GSTM2 MGST1
GSTM2 MGST2
GSTM2 MGST3
GSTM2 TXNDC12
GSTM3 ADH1A
GSTM3 ADH1B
GSTM3 ADH1C
GSTM3 ADH4
GSTM3 ADH5
GSTM3 ADH6
GSTM3 ADH7
GSTM3 ALDH1A3
GSTM3 ALDH3A1
GSTM3 ALDH3B1
GSTM3 ALDH3B2
GSTM3 CYP1A1
GSTM3 CYP1A2
GSTM3 CYP1B1
GSTM3 CYP2A13
GSTM3 CYP2C9
GSTM3 CYP2E1
GSTM3 CYP3A4
GSTM3 EPHX1
GSTM3 GGT1
GSTM3 GGT5
GSTM3 GGT6
GSTM3 GGT7
GSTM3 GPX1
GSTM3 GPX2
GSTM3 GPX3
GSTM3 GPX4
GSTM3 GPX5
GSTM3 GPX6
GSTM3 GPX7
GSTM3 GPX8
GSTM3 GSTA1
GSTM3 GSTA2
GSTM3 GSTA3
GSTM3 GSTA4
GSTM3 GSTA5
GSTM3 GSTK1
GSTM3 GSTM1
GSTM3 GSTM2
GSTM3 GSTM4
GSTM3 GSTM5
GSTM3 GSTO1
GSTM3 GSTO2
GSTM3 GSTP1
GSTM3 GSTT1
GSTM3 GSTT2
GSTM3 GSTT2B
GSTM3 HPGDS
GSTM3 MGST1
GSTM3 MGST2
GSTM3 MGST3
GSTM3 TXNDC12
GSTM4 ADH1A
GSTM4 ADH1B
GSTM4 ADH1C
GSTM4 ADH4
GSTM4 ADH5
GSTM4 ADH6
GSTM4 ADH7
GSTM4 ALDH1A3
GSTM4 ALDH3A1
GSTM4 ALDH3B1
GSTM4 ALDH3B2
GSTM4 CYP1A1
GSTM4 CYP1A2
GSTM4 CYP1B1
GSTM4 CYP2A13
GSTM4 CYP2C9
GSTM4 CYP2E1
GSTM4 CYP3A4
GSTM4 EPHX1
GSTM4 GGT1
GSTM4 GGT5
GSTM4 GGT6
GSTM4 GGT7
GSTM4 GPX1
GSTM4 GPX2
GSTM4 GPX3
GSTM4 GPX4
GSTM4 GPX5
GSTM4 GPX6
GSTM4 GPX7
GSTM4 GPX8
GSTM4 GSTA1
GSTM4 GSTA2
GSTM4 GSTA3
GSTM4 GSTA4
GSTM4 GSTA5
GSTM4 GSTK1
GSTM4 GSTM1
GSTM4 GSTM2
GSTM4 GSTM3
GSTM4 GSTM5
GSTM4 GSTO1
GSTM4 GSTO2
GSTM4 GSTP1
GSTM4 GSTT1
GSTM4 GSTT2
GSTM4 GSTT2B
GSTM4 HPGDS
GSTM4 MGST1
GSTM4 MGST2
GSTM4 MGST3
GSTM4 TXNDC12
GSTM5 ADH1A
GSTM5 ADH1B
GSTM5 ADH1C
GSTM5 ADH4
GSTM5 ADH5
GSTM5 ADH6
GSTM5 ADH7
GSTM5 ALDH1A3
GSTM5 ALDH3A1
GSTM5 ALDH3B1
GSTM5 ALDH3B2
GSTM5 CYP1A1
GSTM5 CYP1A2
GSTM5 CYP1B1
GSTM5 CYP2A13
GSTM5 CYP2C9
GSTM5 CYP2E1
GSTM5 CYP3A4
GSTM5 EPHX1
GSTM5 GGT1
GSTM5 GGT5
GSTM5 GGT6
GSTM5 GGT7
GSTM5 GPX1
GSTM5 GPX2
GSTM5 GPX3
GSTM5 GPX4
GSTM5 GPX5
GSTM5 GPX6
GSTM5 GPX7
GSTM5 GPX8
GSTM5 GSTA1
GSTM5 GSTA2
GSTM5 GSTA3
GSTM5 GSTA4
GSTM5 GSTA5
GSTM5 GSTK1
GSTM5 GSTM1
GSTM5 GSTM2
GSTM5 GSTM3
GSTM5 GSTM4
GSTM5 GSTO1
GSTM5 GSTO2
GSTM5 GSTP1
GSTM5 GSTT1
GSTM5 GSTT2
GSTM5 GSTT2B
GSTM5 HPGDS
GSTM5 MGST1
GSTM5 MGST2
GSTM5 MGST3
GSTM5 TXNDC12
GSTO1 ADH1A
GSTO1 ADH1B
GSTO1 ADH1C
GSTO1 ADH4
GSTO1 ADH5
GSTO1 ADH6
GSTO1 ADH7
GSTO1 ALDH1A3
GSTO1 ALDH3A1
GSTO1 ALDH3B1
GSTO1 ALDH3B2
GSTO1 CYP1A1
GSTO1 CYP1A2
GSTO1 CYP1B1
GSTO1 CYP2A13
GSTO1 CYP2C9
GSTO1 CYP2E1
GSTO1 CYP3A4
GSTO1 EPHX1
GSTO1 GGT1
GSTO1 GGT5
GSTO1 GGT6
GSTO1 GGT7
GSTO1 GPX1
GSTO1 GPX2
GSTO1 GPX3
GSTO1 GPX4
GSTO1 GPX5
GSTO1 GPX6
GSTO1 GPX7
GSTO1 GPX8
GSTO1 GSTA1
GSTO1 GSTA2
GSTO1 GSTA3
GSTO1 GSTA4
GSTO1 GSTA5
GSTO1 GSTK1
GSTO1 GSTM1
GSTO1 GSTM2
GSTO1 GSTM3
GSTO1 GSTM4
GSTO1 GSTM5
GSTO1 GSTO2
GSTO1 GSTP1
GSTO1 GSTT1
GSTO1 GSTT2
GSTO1 GSTT2B
GSTO1 HPGDS
GSTO1 MGST1
GSTO1 MGST2
GSTO1 MGST3
GSTO1 TXNDC12
GSTO2 ADH1A
GSTO2 ADH1B
GSTO2 ADH1C
GSTO2 ADH4
GSTO2 ADH5
GSTO2 ADH6
GSTO2 ADH7
GSTO2 ALDH1A3
GSTO2 ALDH3A1
GSTO2 ALDH3B1
GSTO2 ALDH3B2
GSTO2 CYP1A1
GSTO2 CYP1A2
GSTO2 CYP1B1
GSTO2 CYP2A13
GSTO2 CYP2C9
GSTO2 CYP2E1
GSTO2 CYP3A4
GSTO2 EPHX1
GSTO2 GGT1
GSTO2 GGT5
GSTO2 GGT6
GSTO2 GGT7
GSTO2 GPX1
GSTO2 GPX2
GSTO2 GPX3
GSTO2 GPX4
GSTO2 GPX5
GSTO2 GPX6
GSTO2 GPX7
GSTO2 GPX8
GSTO2 GSTA1
GSTO2 GSTA2
GSTO2 GSTA3
GSTO2 GSTA4
GSTO2 GSTA5
GSTO2 GSTK1
GSTO2 GSTM1
GSTO2 GSTM2
GSTO2 GSTM3
GSTO2 GSTM4
GSTO2 GSTM5
GSTO2 GSTO1
GSTO2 GSTP1
GSTO2 GSTT1
GSTO2 GSTT2
GSTO2 GSTT2B
GSTO2 HPGDS
GSTO2 MGST1
GSTO2 MGST2
GSTO2 MGST3
GSTO2 TXNDC12
GSTP1 ADH1A
GSTP1 ADH1B
GSTP1 ADH1C
GSTP1 ADH4
GSTP1 ADH5
GSTP1 ADH6
GSTP1 ADH7
GSTP1 ALDH1A3
GSTP1 ALDH3A1
GSTP1 ALDH3B1
GSTP1 ALDH3B2
GSTP1 CYP1A1
GSTP1 CYP1A2
GSTP1 CYP1B1
GSTP1 CYP2A13
GSTP1 CYP2C9
GSTP1 CYP2E1
GSTP1 CYP3A4
GSTP1 EPHX1
GSTP1 GGT1
GSTP1 GGT5
GSTP1 GGT6
GSTP1 GGT7
GSTP1 GPX1
GSTP1 GPX2
GSTP1 GPX3
GSTP1 GPX4
GSTP1 GPX5
GSTP1 GPX6
GSTP1 GPX7
GSTP1 GPX8
GSTP1 GSTA1
GSTP1 GSTA2
GSTP1 GSTA3
GSTP1 GSTA4
GSTP1 GSTA5
GSTP1 GSTK1
GSTP1 GSTM1
GSTP1 GSTM2
GSTP1 GSTM3
GSTP1 GSTM4
GSTP1 GSTM5
GSTP1 GSTO1
GSTP1 GSTO2
GSTP1 GSTT1
GSTP1 GSTT2
GSTP1 GSTT2B
GSTP1 HPGDS
GSTP1 MGST1
GSTP1 MGST2
GSTP1 MGST3
GSTP1 TXNDC12
GSTT1 ADH1A
GSTT1 ADH1B
GSTT1 ADH1C
GSTT1 ADH4
GSTT1 ADH5
GSTT1 ADH6
GSTT1 ADH7
GSTT1 ALDH1A3
GSTT1 ALDH3A1
GSTT1 ALDH3B1
GSTT1 ALDH3B2
GSTT1 CYP1A1
GSTT1 CYP1A2
GSTT1 CYP1B1
GSTT1 CYP2A13
GSTT1 CYP2C9
GSTT1 CYP2E1
GSTT1 CYP3A4
GSTT1 EPHX1
GSTT1 GGT1
GSTT1 GGT5
GSTT1 GGT6
GSTT1 GGT7
GSTT1 GPX1
GSTT1 GPX2
GSTT1 GPX3
GSTT1 GPX4
GSTT1 GPX5
GSTT1 GPX6
GSTT1 GPX7
GSTT1 GPX8
GSTT1 GSTA1
GSTT1 GSTA2
GSTT1 GSTA3
GSTT1 GSTA4
GSTT1 GSTA5
GSTT1 GSTK1
GSTT1 GSTM1
GSTT1 GSTM2
GSTT1 GSTM3
GSTT1 GSTM4
GSTT1 GSTM5
GSTT1 GSTO1
GSTT1 GSTO2
GSTT1 GSTP1
GSTT1 GSTT2
GSTT1 GSTT2B
GSTT1 HPGDS
GSTT1 MGST1
GSTT1 MGST2
GSTT1 MGST3
GSTT1 TXNDC12
GSTT2 ADH1A
GSTT2 ADH1B
GSTT2 ADH1C
GSTT2 ADH4
GSTT2 ADH5
GSTT2 ADH6
GSTT2 ADH7
GSTT2 ALDH1A3
GSTT2 ALDH3A1
GSTT2 ALDH3B1
GSTT2 ALDH3B2
GSTT2 CYP1A1
GSTT2 CYP1A2
GSTT2 CYP1B1
GSTT2 CYP2A13
GSTT2 CYP2C9
GSTT2 CYP2E1
GSTT2 CYP3A4
GSTT2 EPHX1
GSTT2 GGT1
GSTT2 GGT5
GSTT2 GGT6
GSTT2 GGT7
GSTT2 GPX1
GSTT2 GPX2
GSTT2 GPX3
GSTT2 GPX4
GSTT2 GPX5
GSTT2 GPX6
GSTT2 GPX7
GSTT2 GPX8
GSTT2 GSTA1
GSTT2 GSTA2
GSTT2 GSTA3
GSTT2 GSTA4
GSTT2 GSTA5
GSTT2 GSTK1
GSTT2 GSTM1
GSTT2 GSTM2
GSTT2 GSTM3
GSTT2 GSTM4
GSTT2 GSTM5
GSTT2 GSTO1
GSTT2 GSTO2
GSTT2 GSTP1
GSTT2 GSTT1
GSTT2 GSTT2B
GSTT2 HPGDS
GSTT2 MGST1
GSTT2 MGST2
GSTT2 MGST3
GSTT2 TXNDC12
GSTT2B ADH1A
GSTT2B ADH1B
GSTT2B ADH1C
GSTT2B ADH4
GSTT2B ADH5
GSTT2B ADH6
GSTT2B ADH7
GSTT2B ALDH1A3
GSTT2B ALDH3A1
GSTT2B ALDH3B1
GSTT2B ALDH3B2
GSTT2B CYP1A1
GSTT2B CYP1A2
GSTT2B CYP1B1
GSTT2B CYP2A13
GSTT2B CYP2C9
GSTT2B CYP2E1
GSTT2B CYP3A4
GSTT2B EPHX1
GSTT2B GGT1
GSTT2B GGT5
GSTT2B GGT6
GSTT2B GGT7
GSTT2B GPX1
GSTT2B GPX2
GSTT2B GPX3
GSTT2B GPX4
GSTT2B GPX5
GSTT2B GPX6
GSTT2B GPX7
GSTT2B GPX8
GSTT2B GSTA1
GSTT2B GSTA2
GSTT2B GSTA3
GSTT2B GSTA4
GSTT2B GSTA5
GSTT2B GSTK1
GSTT2B GSTM1
GSTT2B GSTM2
GSTT2B GSTM3
GSTT2B GSTM4
GSTT2B GSTM5
GSTT2B GSTO1
GSTT2B GSTO2
GSTT2B GSTP1
GSTT2B GSTT1
GSTT2B GSTT2
GSTT2B HPGDS
GSTT2B MGST1
GSTT2B MGST2
GSTT2B MGST3
GSTT2B TXNDC12
GSTZ1 HGD
GUCA1A GUCY2D
GUCA1A GUCY2F
GUCA1B GUCY2D
GUCA1B GUCY2F
GUCA1C GUCY2D
GUCA1C GUCY2F
GUCY1A1 AK9
GUCY1A1 ENPP1
GUCY1A1 ENPP3
GUCY1A1 ENTPD1
GUCY1A1 ENTPD3
GUCY1A1 ENTPD8
GUCY1A1 ITPA
GUCY1A1 NME1
GUCY1A1 NME1-NME2
GUCY1A1 NME2
GUCY1A1 NME3
GUCY1A1 NME4
GUCY1A1 NME6
GUCY1A1 NME7
GUCY1A1 NUDT2
GUCY1A1 PDE10A
GUCY1A1 PDE11A
GUCY1A1 PDE1A
GUCY1A1 PDE1B
GUCY1A1 PDE1C
GUCY1A1 PDE2A
GUCY1A1 PDE3A
GUCY1A1 PDE3B
GUCY1A1 PDE5A
GUCY1A1 PDE6A
GUCY1A1 PDE6B
GUCY1A1 PDE6C
GUCY1A1 PDE6D
GUCY1A1 PDE6G
GUCY1A1 PDE6H
GUCY1A1 PDE9A
GUCY1A1 PKLR
GUCY1A1 PKM
GUCY1A1 PRKG1
GUCY1A1 PRKG2
GUCY1A2 AK9
GUCY1A2 ENPP1
GUCY1A2 ENPP3
GUCY1A2 ENTPD1
GUCY1A2 ENTPD3
GUCY1A2 ENTPD8
GUCY1A2 ITPA
GUCY1A2 NME1
GUCY1A2 NME1-NME2
GUCY1A2 NME2
GUCY1A2 NME3
GUCY1A2 NME4
GUCY1A2 NME6
GUCY1A2 NME7
GUCY1A2 NUDT2
GUCY1A2 PDE10A
GUCY1A2 PDE11A
GUCY1A2 PDE1A
GUCY1A2 PDE1B
GUCY1A2 PDE1C
GUCY1A2 PDE2A
GUCY1A2 PDE3A
GUCY1A2 PDE3B
GUCY1A2 PDE5A
GUCY1A2 PDE6A
GUCY1A2 PDE6B
GUCY1A2 PDE6C
GUCY1A2 PDE6D
GUCY1A2 PDE6G
GUCY1A2 PDE6H
GUCY1A2 PDE9A
GUCY1A2 PKLR
GUCY1A2 PKM
GUCY1A2 PRKG1
GUCY1A2 PRKG2
GUCY1B1 AK9
GUCY1B1 ENPP1
GUCY1B1 ENPP3
GUCY1B1 ENTPD1
GUCY1B1 ENTPD3
GUCY1B1 ENTPD8
GUCY1B1 ITPA
GUCY1B1 NME1
GUCY1B1 NME1-NME2
GUCY1B1 NME2
GUCY1B1 NME3
GUCY1B1 NME4
GUCY1B1 NME6
GUCY1B1 NME7
GUCY1B1 NUDT2
GUCY1B1 PDE10A
GUCY1B1 PDE11A
GUCY1B1 PDE1A
GUCY1B1 PDE1B
GUCY1B1 PDE1C
GUCY1B1 PDE2A
GUCY1B1 PDE3A
GUCY1B1 PDE3B
GUCY1B1 PDE5A
GUCY1B1 PDE6A
GUCY1B1 PDE6B
GUCY1B1 PDE6C
GUCY1B1 PDE6D
GUCY1B1 PDE6G
GUCY1B1 PDE6H
GUCY1B1 PDE9A
GUCY1B1 PKLR
GUCY1B1 PKM
GUCY1B1 PRKG1
GUCY1B1 PRKG2
GUCY2C AK9
GUCY2C ENPP1
GUCY2C ENPP3
GUCY2C ENTPD1
GUCY2C ENTPD3
GUCY2C ENTPD8
GUCY2C ITPA
GUCY2C NME1
GUCY2C NME1-NME2
GUCY2C NME2
GUCY2C NME3
GUCY2C NME4
GUCY2C NME6
GUCY2C NME7
GUCY2C NUDT2
GUCY2C PDE10A
GUCY2C PDE11A
GUCY2C PDE1A
GUCY2C PDE1B
GUCY2C PDE1C
GUCY2C PDE2A
GUCY2C PDE3A
GUCY2C PDE3B
GUCY2C PDE5A
GUCY2C PDE6A
GUCY2C PDE6B
GUCY2C PDE6C
GUCY2C PDE6D
GUCY2C PDE6G
GUCY2C PDE6H
GUCY2C PDE9A
GUCY2C PKLR
GUCY2C PKM
GUCY2D AK9
GUCY2D ENPP1
GUCY2D ENPP3
GUCY2D ENTPD1
GUCY2D ENTPD3
GUCY2D ENTPD8
GUCY2D ITPA
GUCY2D NME1
GUCY2D NME1-NME2
GUCY2D NME2
GUCY2D NME3
GUCY2D NME4
GUCY2D NME6
GUCY2D NME7
GUCY2D NUDT2
GUCY2D PDE10A
GUCY2D PDE11A
GUCY2D PDE1A
GUCY2D PDE1B
GUCY2D PDE1C
GUCY2D PDE2A
GUCY2D PDE3A
GUCY2D PDE3B
GUCY2D PDE5A
GUCY2D PDE6A
GUCY2D PDE6B
GUCY2D PDE6C
GUCY2D PDE6D
GUCY2D PDE6G
GUCY2D PDE6H
GUCY2D PDE9A
GUCY2D PKLR
GUCY2D PKM
GUCY2F AK9
GUCY2F ENPP1
GUCY2F ENPP3
GUCY2F ENTPD1
GUCY2F ENTPD3
GUCY2F ENTPD8
GUCY2F ITPA
GUCY2F NME1
GUCY2F NME1-NME2
GUCY2F NME2
GUCY2F NME3
GUCY2F NME4
GUCY2F NME6
GUCY2F NME7
GUCY2F NUDT2
GUCY2F PDE10A
GUCY2F PDE11A
GUCY2F PDE1A
GUCY2F PDE1B
GUCY2F PDE1C
GUCY2F PDE2A
GUCY2F PDE3A
GUCY2F PDE3B
GUCY2F PDE5A
