gene1	gene2	pathwayID	type
H6pd	Idnk	mmu00030	106
H6pd	Pgd	mmu00030	106
Gpi1	H6pd	mmu00030	121
G6pd2	H6pd	mmu00030	121
G6pdx	H6pd	mmu00030	121
Gusb	Ugt2b38	mmu00040	66
Gusb	Ugt2b34	mmu00040	66
Gusb	Ugt2b37	mmu00040	66
Gusb	Ugt1a2	mmu00040	66
Gusb	Ugt2b5	mmu00040	66
Gusb	Ugt2b36	mmu00040	66
Gusb	Ugt2b35	mmu00040	66
Gusb	Ugt1a10	mmu00040	66
Gusb	Ugt1a7c	mmu00040	66
Gusb	Ugt1a5	mmu00040	66
Gusb	Ugt1a9	mmu00040	66
Gusb	Ugt1a6b	mmu00040	66
Gusb	Ugt1a1	mmu00040	66
Gusb	Ugt2a2	mmu00040	66
Gusb	Ugt2b1	mmu00040	66
Gusb	Ugt2a3	mmu00040	66
Gusb	Ugt2a1	mmu00040	66
Gusb	Ugt1a6a	mmu00040	66
Kl	Ugt2b38	mmu00040	66
Kl	Ugt2b34	mmu00040	66
Kl	Ugt2b37	mmu00040	66
Kl	Ugt1a2	mmu00040	66
Kl	Ugt2b5	mmu00040	66
Kl	Ugt2b36	mmu00040	66
Kl	Ugt2b35	mmu00040	66
Kl	Ugt1a10	mmu00040	66
Kl	Ugt1a7c	mmu00040	66
Kl	Ugt1a5	mmu00040	66
Kl	Ugt1a9	mmu00040	66
Kl	Ugt1a6b	mmu00040	66
Kl	Ugt1a1	mmu00040	66
Kl	Ugt2a2	mmu00040	66
Kl	Ugt2b1	mmu00040	66
Kl	Ugt2a3	mmu00040	66
Kl	Ugt2a1	mmu00040	66
Kl	Ugt1a6a	mmu00040	66
Ugt2b38	Ugdh	mmu00040	136
Ugt2b34	Ugdh	mmu00040	136
Ugt2b37	Ugdh	mmu00040	136
Ugt1a2	Ugdh	mmu00040	136
Ugt2b5	Ugdh	mmu00040	136
Ugt2b36	Ugdh	mmu00040	136
Ugt2b35	Ugdh	mmu00040	136
Ugt1a10	Ugdh	mmu00040	136
Ugt1a7c	Ugdh	mmu00040	136
Ugt1a5	Ugdh	mmu00040	136
Ugt1a9	Ugdh	mmu00040	136
Ugt1a6b	Ugdh	mmu00040	136
Ugt1a1	Ugdh	mmu00040	136
Ugt2a2	Ugdh	mmu00040	136
Ugt2b1	Ugdh	mmu00040	136
Ugt2a3	Ugdh	mmu00040	136
Ugt2a1	Ugdh	mmu00040	136
Ugt1a6a	Ugdh	mmu00040	136
Ugp2	Ugdh	mmu00040	137
Rpe	Xylb	mmu00040	149
Dcxr	Akr1b3	mmu00040	140
Dcxr	Akr1b7	mmu00040	140
Dcxr	Akr1b8	mmu00040	140
Dcxr	Akr1b10	mmu00040	140
Dhdh	Akr1b3	mmu00040	141
Dhdh	Akr1b7	mmu00040	141
Dhdh	Akr1b8	mmu00040	141
Dhdh	Akr1b10	mmu00040	141
Gusb	Akr1a1	mmu00040	197
Kl	Akr1a1	mmu00040	197
Akr1b3	Sord	mmu00040	140
Akr1b7	Sord	mmu00040	140
Akr1b8	Sord	mmu00040	140
Akr1b10	Sord	mmu00040	140
Sord	Dcxr	mmu00040	140
Akr1a1	Cryl1	mmu00040	134
Akr1b3	Sord	mmu00051	156
Akr1b7	Sord	mmu00051	156
Akr1b8	Sord	mmu00051	156
Akr1b10	Sord	mmu00051	156
Sord	Khk	mmu00051	155
Sord	Hk1	mmu00051	155
Sord	Hk2	mmu00051	155
Sord	Hk3	mmu00051	155
Sord	Hkdc1	mmu00051	155
Khk	Hk1	mmu00051	155
Khk	Hk2	mmu00051	155
Khk	Hk3	mmu00051	155
Khk	Hkdc1	mmu00051	155
Pfkfb3	Pfkl	mmu00051	143
Pfkfb3	Pfkm	mmu00051	143
Pfkfb3	Pfkp	mmu00051	143
Pfkfb1	Pfkl	mmu00051	143
Pfkfb1	Pfkm	mmu00051	143
Pfkfb1	Pfkp	mmu00051	143
Pfkfb2	Pfkl	mmu00051	143
Pfkfb2	Pfkm	mmu00051	143
Pfkfb2	Pfkp	mmu00051	143
Pfkfb4	Pfkl	mmu00051	143
Pfkfb4	Pfkm	mmu00051	143
Pfkfb4	Pfkp	mmu00051	143
Tigar	Pfkl	mmu00051	143
Tigar	Pfkm	mmu00051	143
Tigar	Pfkp	mmu00051	143
Pfkfb3	Fbp2	mmu00051	143
Pfkfb3	Fbp1	mmu00051	143
Pfkfb1	Fbp2	mmu00051	143
Pfkfb1	Fbp1	mmu00051	143
Pfkfb2	Fbp2	mmu00051	143
Pfkfb2	Fbp1	mmu00051	143
Pfkfb4	Fbp2	mmu00051	143
Pfkfb4	Fbp1	mmu00051	143
Tigar	Fbp2	mmu00051	143
Tigar	Fbp1	mmu00051	143
Pfkfb3	Mpi	mmu00051	143
Pfkfb1	Mpi	mmu00051	143
Pfkfb2	Mpi	mmu00051	143
Pfkfb4	Mpi	mmu00051	143
Tigar	Mpi	mmu00051	143
Hk1	Pfkfb3	mmu00051	143
Hk1	Pfkfb1	mmu00051	143
Hk1	Pfkfb2	mmu00051	143
Hk1	Pfkfb4	mmu00051	143
Hk1	Tigar	mmu00051	143
Hk2	Pfkfb3	mmu00051	143
Hk2	Pfkfb1	mmu00051	143
Hk2	Pfkfb2	mmu00051	143
Hk2	Pfkfb4	mmu00051	143
Hk2	Tigar	mmu00051	143
Hk3	Pfkfb3	mmu00051	143
Hk3	Pfkfb1	mmu00051	143
Hk3	Pfkfb2	mmu00051	143
Hk3	Pfkfb4	mmu00051	143
Hk3	Tigar	mmu00051	143
Hkdc1	Pfkfb3	mmu00051	143
Hkdc1	Pfkfb1	mmu00051	143
Hkdc1	Pfkfb2	mmu00051	143
Hkdc1	Pfkfb4	mmu00051	143
Hkdc1	Tigar	mmu00051	143
Mpi	Pfkl	mmu00051	143
Mpi	Pfkm	mmu00051	143
Mpi	Pfkp	mmu00051	143
Hk1	Pfkl	mmu00051	143
Hk1	Pfkm	mmu00051	143
Hk1	Pfkp	mmu00051	143
Hk2	Pfkl	mmu00051	143
Hk2	Pfkm	mmu00051	143
Hk2	Pfkp	mmu00051	143
Hk3	Pfkl	mmu00051	143
Hk3	Pfkm	mmu00051	143
Hk3	Pfkp	mmu00051	143
Hkdc1	Pfkl	mmu00051	143
Hkdc1	Pfkm	mmu00051	143
Hkdc1	Pfkp	mmu00051	143
Mpi	Fbp2	mmu00051	143
Mpi	Fbp1	mmu00051	143
Hk1	Fbp2	mmu00051	143
Hk1	Fbp1	mmu00051	143
Hk2	Fbp2	mmu00051	143
Hk2	Fbp1	mmu00051	143
Hk3	Fbp2	mmu00051	143
Hk3	Fbp1	mmu00051	143
Hkdc1	Fbp2	mmu00051	143
Hkdc1	Fbp1	mmu00051	143
Hk1	Mpi	mmu00051	143
Hk2	Mpi	mmu00051	143
Hk3	Mpi	mmu00051	143
Hkdc1	Mpi	mmu00051	143
Aldoa	Fbp2	mmu00051	158
Aldoa	Fbp1	mmu00051	158
Aldoc	Fbp2	mmu00051	158
Aldoc	Fbp1	mmu00051	158
Aldob	Fbp2	mmu00051	158
Aldob	Fbp1	mmu00051	158
Aldoart1	Fbp2	mmu00051	158
Aldoart1	Fbp1	mmu00051	158
Pfkl	Aldoa	mmu00051	158
Pfkl	Aldoc	mmu00051	158
Pfkl	Aldob	mmu00051	158
Pfkl	Aldoart1	mmu00051	158
Pfkm	Aldoa	mmu00051	158
Pfkm	Aldoc	mmu00051	158
Pfkm	Aldob	mmu00051	158
Pfkm	Aldoart1	mmu00051	158
Pfkp	Aldoa	mmu00051	158
Pfkp	Aldoc	mmu00051	158
Pfkp	Aldob	mmu00051	158
Pfkp	Aldoart1	mmu00051	158
Mpi	Pmm1	mmu00051	123
Mpi	Pmm2	mmu00051	123
Hk1	Pmm1	mmu00051	123
Hk1	Pmm2	mmu00051	123
Hk2	Pmm1	mmu00051	123
Hk2	Pmm2	mmu00051	123
Hk3	Pmm1	mmu00051	123
Hk3	Pmm2	mmu00051	123
Hkdc1	Pmm1	mmu00051	123
Hkdc1	Pmm2	mmu00051	123
Pmm1	Gmppb	mmu00051	157
Pmm1	Gmppa	mmu00051	157
Pmm2	Gmppb	mmu00051	157
Pmm2	Gmppa	mmu00051	157
Gmds	Gmppb	mmu00051	142
Gmds	Gmppa	mmu00051	142
Tsta3	Gmds	mmu00051	145
Fpgt	Tsta3	mmu00051	132
Fpgt	Fcsk	mmu00051	146
Tpi1	Aldoa	mmu00051	169
Tpi1	Aldoc	mmu00051	169
Tpi1	Aldob	mmu00051	169
Tpi1	Aldoart1	mmu00051	169
Aldoa	Tkfc	mmu00051	134
Aldoc	Tkfc	mmu00051	134
Aldob	Tkfc	mmu00051	134
Aldoart1	Tkfc	mmu00051	134
Tpi1	Tkfc	mmu00051	141
