Ywhab	Arhgef2
Ywhab	Arhgef7
Ywhab	Armc10
Ywhab	Actr2
Ywhab	Actr3
Ywhab	Astn1
Ywhab	Astn2
Ywhab	Atp1a1
Ywhab	Atp1a3
Ywhab	Atp1a4
Ywhab	Atp1b1
Ywhab	Atp2a2
Ywhab	Atp2b2
Ywhab	Atad3
Ywhab	Atp5f1a
Ywhab	Atp5f1b
Ywhab	Atp5f1c
Ywhab	Dnajc6
Ywhab	Slc4a3
Ywhab	Baiap2
Ywhab	Bsg
Ywhab	Basp1
Ywhab	Bdh1
Ywhab	Bin1
Ywhab	Hspa5
Ywhab	Brinp1
Ywhab	Bsn
Ywhab	C1qbp
Ywhab	Cacna2d1
Ywhab	Cacna2d2
Ywhab	Cacna2d3
Ywhab	Cacna1a
Ywhab	Cacna1b
Ywhab	Cacna1c
Ywhab	Cacna1e
Ywhab	Cacnb3
Ywhab	Cdh2
Ywhab	Canx
Ywhab	Camkv
Ywhab	Capzb
Ywhab	Capza2
Ywhab	Ccny
Ywhab	Ccsap
Ywhab	Hspd1
Ywhab	Stub1
Ywhab	Cs
Ywhab	Cdk5rap3
Ywhab	Ckap4
Ywhab	Clasp2
Ywhab	Clta
Ywhab	Cltb
Ywhab	Cltc
Ywhab	Clip1
Ywhab	Clip2
Ywhab	Clmn
Ywhab	Clu
Ywhab	Slc25a12
Ywhab	Slc25a13
Ywhab	Cnp
Ywhab	Cnksr2
Ywhab	Cnnm1
Ywhab	Cntfr
Ywhab	Cntn1
Ywhab	Cntn2
Ywhab	Cntnap1
Ywhab	Copb2
Ywhab	Mtco2
Ywhab	Crtac1
Ywhab	Csnk2a1
Ywhab	Caskin1
Ywhab	Cask
Ywhab	Cops3
Ywhab	Vcan
Ywhab	Cspg5
Ywhab	Ctnna2
Ywhab	Ctnnb1
Ywhab	Ctnnd1
Ywhab	Ctnnd2
Ywhab	Cit
Ywhab	Gja1
Ywhab	Cyc1
Ywhab	Cyfip1
Ywhab	Cyfip2
Ywhab	Daam1
Ywhab	Dync1i1
Ywhab	Dync1i2
Ywhab	Gad1
Ywhab	Dclk1
Ywhab	Dctn1
Ywhab	Dctn2
Ywhab	Dctn4
Ywhab	Ddx1
Ywhab	D1Pas1
Ywhab	Ddx3x
Ywhab	Ddx5
Ywhab	Decr1
Ywhab	Hsd17b12
Ywhab	Glud1
Ywhab	Dhrs4
Ywhab	Diras2
Ywhab	Dnajc11
Ywhab	Dld
Ywhab	Dlg1
Ywhab	Dlg2
Ywhab	Dlg3
Ywhab	Dlg4
Ywhab	Dnaja1
Ywhab	Dnaja2
Ywhab	Dnajb6
Ywhab	Dock7
Ywhab	Dpm1
Ywhab	Dpp6
Ywhab	Crmp1
Ywhab	Dpysl2
Ywhab	Dpysl4
Ywhab	Dpysl5
Ywhab	Dbn1
Ywhab	Dhrs7b
Ywhab	Dtna
Ywhab	Dync1h1
Ywhab	Dnm1
Ywhab	Epb41l1
Ywhab	Epb41l3
Ywhab	Slc1a2
Ywhab	Hadha
Ywhab	Hadhb
Ywhab	Eef1a1
Ywhab	Eef1a2
Ywhab	Eef1b
Ywhab	Eef1g
Ywhab	Eef2
Ywhab	Efr3a
Ywhab	Ehd3
Ywhab	Ehmt2
Ywhab	Eif3d
Ywhab	Emc1
Ywhab	Emc2
Ywhab	Eno1
