gene1	gene2	pathwayID	type
GPI	G6PD	hsa00030	134
RPE	PGD	hsa00030	144
RPEL1	PGD	hsa00030	144
RPIA	PGD	hsa00030	144
RPIA	RPE	hsa00030	144
RPIA	RPEL1	hsa00030	144
TKT	RPIA	hsa00030	123
TKTL1	RPIA	hsa00030	123
TKTL2	RPIA	hsa00030	123
RBKS	RPIA	hsa00030	123
PGM2	RPIA	hsa00030	123
RPIA	PGM1	hsa00030	123
PRPS1L1	RPIA	hsa00030	123
PRPS1	RPIA	hsa00030	123
PRPS2	RPIA	hsa00030	123
RBKS	TKT	hsa00030	123
RBKS	TKTL1	hsa00030	123
RBKS	TKTL2	hsa00030	123
PGM2	TKT	hsa00030	123
PGM2	TKTL1	hsa00030	123
PGM2	TKTL2	hsa00030	123
TKT	PGM1	hsa00030	123
TKTL1	PGM1	hsa00030	123
TKTL2	PGM1	hsa00030	123
PRPS1L1	TKT	hsa00030	123
PRPS1L1	TKTL1	hsa00030	123
PRPS1L1	TKTL2	hsa00030	123
PRPS1	TKT	hsa00030	123
PRPS1	TKTL1	hsa00030	123
PRPS1	TKTL2	hsa00030	123
PRPS2	TKT	hsa00030	123
PRPS2	TKTL1	hsa00030	123
PRPS2	TKTL2	hsa00030	123
PGM2	RBKS	hsa00030	123
RBKS	PGM1	hsa00030	123
PRPS1L1	RBKS	hsa00030	123
PRPS1	RBKS	hsa00030	123
PRPS2	RBKS	hsa00030	123
PRPS1L1	PGM2	hsa00030	123
PRPS1	PGM2	hsa00030	123
PRPS2	PGM2	hsa00030	123
PRPS1L1	PGM1	hsa00030	123
PRPS1	PGM1	hsa00030	123
PRPS2	PGM1	hsa00030	123
TKT	TALDO1	hsa00030	129
TKTL1	TALDO1	hsa00030	129
TKTL2	TALDO1	hsa00030	129
TKT	GPI	hsa00030	137
TKTL1	GPI	hsa00030	137
TKTL2	GPI	hsa00030	137
PFKL	GPI	hsa00030	137
PFKM	GPI	hsa00030	137
PFKP	GPI	hsa00030	137
FBP1	GPI	hsa00030	137
FBP2	GPI	hsa00030	137
TKT	PFKL	hsa00030	137
TKT	PFKM	hsa00030	137
TKT	PFKP	hsa00030	137
TKTL1	PFKL	hsa00030	137
TKTL1	PFKM	hsa00030	137
TKTL1	PFKP	hsa00030	137
TKTL2	PFKL	hsa00030	137
TKTL2	PFKM	hsa00030	137
TKTL2	PFKP	hsa00030	137
TKT	FBP1	hsa00030	137
TKT	FBP2	hsa00030	137
TKTL1	FBP1	hsa00030	137
TKTL1	FBP2	hsa00030	137
TKTL2	FBP1	hsa00030	137
TKTL2	FBP2	hsa00030	137
ALDOA	PFKL	hsa00030	133
ALDOA	PFKM	hsa00030	133
ALDOA	PFKP	hsa00030	133
ALDOB	PFKL	hsa00030	133
ALDOB	PFKM	hsa00030	133
ALDOB	PFKP	hsa00030	133
ALDOC	PFKL	hsa00030	133
ALDOC	PFKM	hsa00030	133
ALDOC	PFKP	hsa00030	133
ALDOA	FBP1	hsa00030	133
ALDOA	FBP2	hsa00030	133
ALDOB	FBP1	hsa00030	133
ALDOB	FBP2	hsa00030	133
ALDOC	FBP1	hsa00030	133
ALDOC	FBP2	hsa00030	133
TKT	ALDOA	hsa00030	132
TKT	ALDOB	hsa00030	132
TKT	ALDOC	hsa00030	132
TKTL1	ALDOA	hsa00030	132
TKTL1	ALDOB	hsa00030	132
TKTL1	ALDOC	hsa00030	132
TKTL2	ALDOA	hsa00030	132
TKTL2	ALDOB	hsa00030	132
TKTL2	ALDOC	hsa00030	132
DERA	ALDOA	hsa00030	132
DERA	ALDOB	hsa00030	132
DERA	ALDOC	hsa00030	132
DERA	TKT	hsa00030	132
DERA	TKTL1	hsa00030	132
DERA	TKTL2	hsa00030	132
RBKS	DERA	hsa00030	131
PGM2	DERA	hsa00030	131
FBP1	TALDO1	hsa00030	137
FBP2	TALDO1	hsa00030	137
PFKL	TALDO1	hsa00030	137
PFKM	TALDO1	hsa00030	137
PFKP	TALDO1	hsa00030	137
GPI	TALDO1	hsa00030	137
TKT	RPE	hsa00030	142
TKT	RPEL1	hsa00030	142
TKTL1	RPE	hsa00030	142
TKTL1	RPEL1	hsa00030	142
TKTL2	RPE	hsa00030	142
TKTL2	RPEL1	hsa00030	142
ALDOA	TALDO1	hsa00030	132
ALDOB	TALDO1	hsa00030	132
ALDOC	TALDO1	hsa00030	132
DERA	TALDO1	hsa00030	132
PGLS	H6PD	hsa00030	119
H6PD	IDNK	hsa00030	119
H6PD	PGD	hsa00030	119
GPI	H6PD	hsa00030	134
G6PD	H6PD	hsa00030	134
GUSB	UGT2B11	hsa00040	70
GUSB	UGT2A1	hsa00040	70
GUSB	UGT2B28	hsa00040	70
GUSB	UGT1A10	hsa00040	70
GUSB	UGT1A8	hsa00040	70
GUSB	UGT1A7	hsa00040	70
GUSB	UGT1A6	hsa00040	70
GUSB	UGT1A5	hsa00040	70
GUSB	UGT1A9	hsa00040	70
GUSB	UGT1A4	hsa00040	70
GUSB	UGT1A1	hsa00040	70
GUSB	UGT1A3	hsa00040	70
GUSB	UGT2A2	hsa00040	70
GUSB	UGT2B4	hsa00040	70
GUSB	UGT2B7	hsa00040	70
GUSB	UGT2B10	hsa00040	70
GUSB	UGT2B15	hsa00040	70
GUSB	UGT2B17	hsa00040	70
